# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	2.350000000000000000e+02
0.000000000000000000e+00	-7.500000000000000000e-01	2.880000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	2.910000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	2.860000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.740000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	2.480000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	2.190000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	1.850000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	7.700000000000000000e+01
7.853981633974482790e-01	-1.000000000000000000e+00	2.150000000000000000e+02
7.853981633974482790e-01	-7.500000000000000000e-01	2.520000000000000000e+02
7.853981633974482790e-01	-5.000000000000000000e-01	2.500000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	2.520000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	2.320000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	2.230000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	2.040000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	1.580000000000000000e+02
7.853981633974482790e-01	1.000000000000000000e+00	9.300000000000000000e+01
1.570796326794896558e+00	-1.000000000000000000e+00	2.330000000000000000e+02
1.570796326794896558e+00	-7.500000000000000000e-01	1.990000000000000000e+02
1.570796326794896558e+00	-5.000000000000000000e-01	1.810000000000000000e+02
1.570796326794896558e+00	-2.500000000000000000e-01	1.680000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.460000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.290000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	1.110000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	1.180000000000000000e+02
1.570796326794896558e+00	1.000000000000000000e+00	1.010000000000000000e+02
2.356194490192344837e+00	-1.000000000000000000e+00	2.240000000000000000e+02
2.356194490192344837e+00	-7.500000000000000000e-01	1.490000000000000000e+02
2.356194490192344837e+00	-5.000000000000000000e-01	1.160000000000000000e+02
2.356194490192344837e+00	-2.500000000000000000e-01	9.400000000000000000e+01
2.356194490192344837e+00	0.000000000000000000e+00	6.900000000000000000e+01
2.356194490192344837e+00	2.500000000000000000e-01	4.000000000000000000e+01
2.356194490192344837e+00	5.000000000000000000e-01	5.200000000000000000e+01
2.356194490192344837e+00	7.500000000000000000e-01	3.900000000000000000e+01
2.356194490192344837e+00	1.000000000000000000e+00	8.300000000000000000e+01
3.141592653589793116e+00	-1.000000000000000000e+00	2.160000000000000000e+02
3.141592653589793116e+00	-7.500000000000000000e-01	1.250000000000000000e+02
3.141592653589793116e+00	-5.000000000000000000e-01	8.300000000000000000e+01
3.141592653589793116e+00	-2.500000000000000000e-01	5.400000000000000000e+01
3.141592653589793116e+00	0.000000000000000000e+00	3.600000000000000000e+01
3.141592653589793116e+00	2.500000000000000000e-01	2.300000000000000000e+01
3.141592653589793116e+00	5.000000000000000000e-01	2.000000000000000000e+01
3.141592653589793116e+00	7.500000000000000000e-01	2.200000000000000000e+01
3.141592653589793116e+00	1.000000000000000000e+00	9.200000000000000000e+01
3.926990816987241395e+00	-1.000000000000000000e+00	2.230000000000000000e+02
3.926990816987241395e+00	-7.500000000000000000e-01	1.540000000000000000e+02
3.926990816987241395e+00	-5.000000000000000000e-01	1.130000000000000000e+02
3.926990816987241395e+00	-2.500000000000000000e-01	9.500000000000000000e+01
3.926990816987241395e+00	0.000000000000000000e+00	6.500000000000000000e+01
3.926990816987241395e+00	2.500000000000000000e-01	6.100000000000000000e+01
3.926990816987241395e+00	5.000000000000000000e-01	4.300000000000000000e+01
3.926990816987241395e+00	7.500000000000000000e-01	5.100000000000000000e+01
3.926990816987241395e+00	1.000000000000000000e+00	8.200000000000000000e+01
4.712388980384689674e+00	-1.000000000000000000e+00	2.230000000000000000e+02
4.712388980384689674e+00	-7.500000000000000000e-01	2.060000000000000000e+02
4.712388980384689674e+00	-5.000000000000000000e-01	1.890000000000000000e+02
4.712388980384689674e+00	-2.500000000000000000e-01	1.570000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.620000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.360000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	1.150000000000000000e+02
4.712388980384689674e+00	7.500000000000000000e-01	1.050000000000000000e+02
4.712388980384689674e+00	1.000000000000000000e+00	6.700000000000000000e+01
5.497787143782137953e+00	-1.000000000000000000e+00	2.200000000000000000e+02
5.497787143782137953e+00	-7.500000000000000000e-01	2.620000000000000000e+02
5.497787143782137953e+00	-5.000000000000000000e-01	2.540000000000000000e+02
5.497787143782137953e+00	-2.500000000000000000e-01	2.540000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	2.460000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	2.200000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	2.010000000000000000e+02
