# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	1.670000000000000000e+02
0.000000000000000000e+00	-7.500000000000000000e-01	2.380000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	2.710000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	2.840000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.950000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	2.830000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	2.640000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	2.440000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	1.550000000000000000e+02
7.853981633974482790e-01	-1.000000000000000000e+00	1.280000000000000000e+02
7.853981633974482790e-01	-7.500000000000000000e-01	2.080000000000000000e+02
7.853981633974482790e-01	-5.000000000000000000e-01	2.350000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	2.540000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	2.430000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	2.470000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	2.360000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	2.210000000000000000e+02
7.853981633974482790e-01	1.000000000000000000e+00	1.650000000000000000e+02
1.570796326794896558e+00	-1.000000000000000000e+00	1.460000000000000000e+02
1.570796326794896558e+00	-7.500000000000000000e-01	1.480000000000000000e+02
1.570796326794896558e+00	-5.000000000000000000e-01	1.390000000000000000e+02
1.570796326794896558e+00	-2.500000000000000000e-01	1.470000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.490000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.550000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	1.670000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	1.350000000000000000e+02
1.570796326794896558e+00	1.000000000000000000e+00	1.520000000000000000e+02
2.356194490192344837e+00	-1.000000000000000000e+00	1.230000000000000000e+02
2.356194490192344837e+00	-7.500000000000000000e-01	8.100000000000000000e+01
2.356194490192344837e+00	-5.000000000000000000e-01	7.400000000000000000e+01
2.356194490192344837e+00	-2.500000000000000000e-01	6.800000000000000000e+01
2.356194490192344837e+00	0.000000000000000000e+00	7.800000000000000000e+01
2.356194490192344837e+00	2.500000000000000000e-01	4.900000000000000000e+01
2.356194490192344837e+00	5.000000000000000000e-01	8.300000000000000000e+01
2.356194490192344837e+00	7.500000000000000000e-01	9.800000000000000000e+01
2.356194490192344837e+00	1.000000000000000000e+00	1.460000000000000000e+02
3.141592653589793116e+00	-1.000000000000000000e+00	1.550000000000000000e+02
3.141592653589793116e+00	-7.500000000000000000e-01	7.000000000000000000e+01
3.141592653589793116e+00	-5.000000000000000000e-01	4.400000000000000000e+01
3.141592653589793116e+00	-2.500000000000000000e-01	2.200000000000000000e+01
3.141592653589793116e+00	0.000000000000000000e+00	1.400000000000000000e+01
3.141592653589793116e+00	2.500000000000000000e-01	1.600000000000000000e+01
3.141592653589793116e+00	5.000000000000000000e-01	3.500000000000000000e+01
3.141592653589793116e+00	7.500000000000000000e-01	5.500000000000000000e+01
3.141592653589793116e+00	1.000000000000000000e+00	1.500000000000000000e+02
3.926990816987241395e+00	-1.000000000000000000e+00	1.660000000000000000e+02
3.926990816987241395e+00	-7.500000000000000000e-01	9.000000000000000000e+01
3.926990816987241395e+00	-5.000000000000000000e-01	7.600000000000000000e+01
3.926990816987241395e+00	-2.500000000000000000e-01	6.300000000000000000e+01
3.926990816987241395e+00	0.000000000000000000e+00	6.600000000000000000e+01
3.926990816987241395e+00	2.500000000000000000e-01	6.900000000000000000e+01
3.926990816987241395e+00	5.000000000000000000e-01	7.400000000000000000e+01
3.926990816987241395e+00	7.500000000000000000e-01	9.600000000000000000e+01
3.926990816987241395e+00	1.000000000000000000e+00	1.630000000000000000e+02
4.712388980384689674e+00	-1.000000000000000000e+00	1.570000000000000000e+02
4.712388980384689674e+00	-7.500000000000000000e-01	1.590000000000000000e+02
4.712388980384689674e+00	-5.000000000000000000e-01	1.860000000000000000e+02
4.712388980384689674e+00	-2.500000000000000000e-01	1.560000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.620000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.490000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	1.610000000000000000e+02
4.712388980384689674e+00	7.500000000000000000e-01	1.600000000000000000e+02
