# z	phi	nb
-1.000000000000000000e+00	0.000000000000000000e+00	2.870000000000000000e+02
-1.000000000000000000e+00	7.853981633974482790e-01	2.880000000000000000e+02
-1.000000000000000000e+00	1.570796326794896558e+00	2.820000000000000000e+02
-1.000000000000000000e+00	2.356194490192344837e+00	2.930000000000000000e+02
-1.000000000000000000e+00	3.141592653589793116e+00	2.920000000000000000e+02
-1.000000000000000000e+00	3.926990816987241395e+00	2.890000000000000000e+02
-1.000000000000000000e+00	4.712388980384689674e+00	2.930000000000000000e+02
-1.000000000000000000e+00	5.497787143782137953e+00	2.920000000000000000e+02
-1.000000000000000000e+00	6.283185307179586232e+00	2.910000000000000000e+02
-7.500000000000000000e-01	0.000000000000000000e+00	2.900000000000000000e+02
-7.500000000000000000e-01	7.853981633974482790e-01	2.860000000000000000e+02
-7.500000000000000000e-01	1.570796326794896558e+00	2.950000000000000000e+02
-7.500000000000000000e-01	2.356194490192344837e+00	2.920000000000000000e+02
-7.500000000000000000e-01	3.141592653589793116e+00	2.920000000000000000e+02
-7.500000000000000000e-01	3.926990816987241395e+00	2.950000000000000000e+02
-7.500000000000000000e-01	4.712388980384689674e+00	2.900000000000000000e+02
-7.500000000000000000e-01	5.497787143782137953e+00	2.930000000000000000e+02
-7.500000000000000000e-01	6.283185307179586232e+00	2.890000000000000000e+02
-5.000000000000000000e-01	0.000000000000000000e+00	2.970000000000000000e+02
-5.000000000000000000e-01	7.853981633974482790e-01	2.880000000000000000e+02
-5.000000000000000000e-01	1.570796326794896558e+00	2.950000000000000000e+02
-5.000000000000000000e-01	2.356194490192344837e+00	2.940000000000000000e+02
-5.000000000000000000e-01	3.141592653589793116e+00	2.880000000000000000e+02
-5.000000000000000000e-01	3.926990816987241395e+00	2.920000000000000000e+02
-5.000000000000000000e-01	4.712388980384689674e+00	2.890000000000000000e+02
-5.000000000000000000e-01	5.497787143782137953e+00	2.880000000000000000e+02
-5.000000000000000000e-01	6.283185307179586232e+00	2.920000000000000000e+02
-2.500000000000000000e-01	0.000000000000000000e+00	2.950000000000000000e+02
-2.500000000000000000e-01	7.853981633974482790e-01	2.940000000000000000e+02
-2.500000000000000000e-01	1.570796326794896558e+00	2.920000000000000000e+02
-2.500000000000000000e-01	2.356194490192344837e+00	2.940000000000000000e+02
-2.500000000000000000e-01	3.141592653589793116e+00	2.840000000000000000e+02
-2.500000000000000000e-01	3.926990816987241395e+00	2.910000000000000000e+02
-2.500000000000000000e-01	4.712388980384689674e+00	2.920000000000000000e+02
-2.500000000000000000e-01	5.497787143782137953e+00	2.890000000000000000e+02
-2.500000000000000000e-01	6.283185307179586232e+00	2.940000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.900000000000000000e+02
0.000000000000000000e+00	7.853981633974482790e-01	2.890000000000000000e+02
0.000000000000000000e+00	1.570796326794896558e+00	2.890000000000000000e+02
0.000000000000000000e+00	2.356194490192344837e+00	2.940000000000000000e+02
0.000000000000000000e+00	3.141592653589793116e+00	2.920000000000000000e+02
0.000000000000000000e+00	3.926990816987241395e+00	2.940000000000000000e+02
0.000000000000000000e+00	4.712388980384689674e+00	2.910000000000000000e+02
0.000000000000000000e+00	5.497787143782137953e+00	2.930000000000000000e+02
0.000000000000000000e+00	6.283185307179586232e+00	2.910000000000000000e+02
2.500000000000000000e-01	0.000000000000000000e+00	2.950000000000000000e+02
2.500000000000000000e-01	7.853981633974482790e-01	2.920000000000000000e+02
2.500000000000000000e-01	1.570796326794896558e+00	2.880000000000000000e+02
2.500000000000000000e-01	2.356194490192344837e+00	2.930000000000000000e+02
2.500000000000000000e-01	3.141592653589793116e+00	2.940000000000000000e+02
2.500000000000000000e-01	3.926990816987241395e+00	2.900000000000000000e+02
2.500000000000000000e-01	4.712388980384689674e+00	2.890000000000000000e+02
2.500000000000000000e-01	5.497787143782137953e+00	2.880000000000000000e+02
2.500000000000000000e-01	6.283185307179586232e+00	2.880000000000000000e+02
5.000000000000000000e-01	0.000000000000000000e+00	2.890000000000000000e+02
5.000000000000000000e-01	7.853981633974482790e-01	2.880000000000000000e+02
5.000000000000000000e-01	1.570796326794896558e+00	2.880000000000000000e+02
5.000000000000000000e-01	2.356194490192344837e+00	2.930000000000000000e+02
5.000000000000000000e-01	3.141592653589793116e+00	2.870000000000000000e+02
5.000000000000000000e-01	3.926990816987241395e+00	2.910000000000000000e+02
5.000000000000000000e-01	4.712388980384689674e+00	2.920000000000000000e+02
5.000000000000000000e-01	5.497787143782137953e+00	2.910000000000000000e+02
5.000000000000000000e-01	6.283185307179586232e+00	2.900000000000000000e+02
7.500000000000000000e-01	0.000000000000000000e+00	2.890000000000000000e+02
7.500000000000000000e-01	7.853981633974482790e-01	2.890000000000000000e+02
7.500000000000000000e-01	1.570796326794896558e+00	2.900000000000000000e+02
7.500000000000000000e-01	2.356194490192344837e+00	2.910000000000000000e+02
7.500000000000000000e-01	3.141592653589793116e+00	2.960000000000000000e+02
7.500000000000000000e-01	3.926990816987241395e+00	2.940000000000000000e+02
7.500000000000000000e-01	4.712388980384689674e+00	2.870000000000000000e+02
7.500000000000000000e-01	5.497787143782137953e+00	2.880000000000000000e+02
7.500000000000000000e-01	6.283185307179586232e+00	2.900000000000000000e+02
1.000000000000000000e+00	0.000000000000000000e+00	2.860000000000000000e+02
1.000000000000000000e+00	7.853981633974482790e-01	2.930000000000000000e+02
1.000000000000000000e+00	1.570796326794896558e+00	2.940000000000000000e+02
1.000000000000000000e+00	2.356194490192344837e+00	2.940000000000000000e+02
1.000000000000000000e+00	3.141592653589793116e+00	2.900000000000000000e+02
1.000000000000000000e+00	3.926990816987241395e+00	2.910000000000000000e+02
1.000000000000000000e+00	4.712388980384689674e+00	2.950000000000000000e+02
1.000000000000000000e+00	5.497787143782137953e+00	2.950000000000000000e+02
1.000000000000000000e+00	6.283185307179586232e+00	2.860000000000000000e+02
